Question,Choices,Answer,Question Type,Domain,Category
"Where is the traditional game ""Al-Fashaq"" popular in Saudi Arabia?",A. Northern Saudi Arabia B. Eastern Saudi Arabia C. Western Saudi Arabia D. Southern Saudi Arabia,A. Northern Saudi Arabia,MCQ (one correct),Specialized,Entertainment
What is the Saudi traditional game similar to bowling?,A. Al-Fashaq B. Al-Bakkoura C. Taq Taqiyyah D. Sabaa Al-Hajar,A. Al-Fashaq,MCQ (one correct),Specialized,Entertainment
"Where is the dance ""Al-Ashouri"" famous in Saudi Arabia?",A. Northern Saudi Arabia B. Central Saudi Arabia C. Eastern Saudi Arabia D. Western Saudi Arabia,A. Northern Saudi Arabia,MCQ (one correct),Specialized,Entertainment
"When is the game ""Adheem Lah Wayn Gada Wayn Rah"" played in Northern Saudi Arabia?",A. During full moon nights B. During Eid celebrations C. During weddings D. During winter evenings,A. During full moon nights,MCQ (one correct),Specialized,Entertainment
What does placing your hand over a coffee cup mean in Northern Saudi culture?,A. Request for more coffee B. Refusal of more coffee C. Thanking the host D. Starting a conversation,B. Refusal of more coffee,MCQ (one correct),Specialized,Food
What is the typical amount of coffee served to guests in Northern Saudi Arabia?,A. Quarter of the cup B. One-third of the cup C. Half of the cup D. Full cup,B. One-third of the cup,MCQ (one correct),Specialized,Food
What are the unique hospitality traditions in Northern Saudi Arabia?,"A. Dates are served first, then coffee is poured after finishing the dates. B. Coffee is served first, then dates after drinking the coffee. C. Coffee and dates are served together. D. Only dates are served without coffee during visits.","A. Dates are served first, then coffee is poured after finishing the dates.",MCQ (one correct),Specialized,Food
Is it acceptable for the host to eat with the guests in Northern Saudi hospitality?,"A. Yes, the host always eats with the guests. B. No, the host does not eat with the guests when serving food. C. The host eats only with close friends or family members. D. It depends on the occasion and the guest’s preference.","B. No, the host does not eat with the guests when serving food.",MCQ (one correct),Specialized,Food
What architectural planning system does traditional architecture in Al-Jouf rely on?,A. Linear architectural planning B. Modular architectural design C. Integrated architectural composition D. Open courtyard planning,A,MCQ (one correct),Specialized,Architecture
"What happens during ""Al-Shabbat"" in Northern Saudi Arabia?","A. A person opens their home after Asr, Maghrib, or Isha prayer. B. Guests are served traditional meals like Jareesh and Hamees. C. Coffee, tea, and desserts are served. D. Neighbors and friends gather to socialize.","A, B, C, and D",MCQ (multiple correct),Specialized,Entertainment
"What is ""Khashrat Al-Eid"" in Hail, and how is it celebrated?","A. Preparing competition games for children. B. A gathering of women and children in one home. C. Enjoying light traditional foods, sweets, and nuts. D. A festive event held in mosques.","A, B, and C",MCQ (multiple correct),Specialized,Entertainment
"What is a common dish served in Hail during Eid, showcasing housewives’ cooking skills?",A. Kabsa decorated with truffles and vegetables. B. Jareesh. C. Lamb Mandi. D. Qursan.,A,MCQ (one correct),Specialized,Food
How do families in Hail ensure everyone in the neighborhood tastes each other’s food during Eid breakfast?,A. By inviting all neighbors to one central home. B. By delivering food to each home. C. By sharing meals with travelers and passersby. D. By rotating between plates and tables.,D,MCQ (one correct),Specialized,Food
What are common gathering places in Northern Saudi Arabia?,A. Roshan B. Majlis C. Qahwa D. Shabbah,B and C,MCQ (multiple correct),Specialized,Food
